lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
mercenary,,"<h3>Maqibsa</h3> 1] 1, waa'ee maallaqaa yookiin waa'ee bu'aa argachuu kophaa kan yaadu 2] loltuu bitamtuu",,,,,,,,
merchandise,,<h3>Cibra</h3> 1] meeshaalee daldalaa,,,,,,,,
merchant,,"<h3>Cibra</h3> 1] daladalaa, daldaltuu",,,,,,,,
merchantable,,<h3>Maqibsa</h3> 1] gurguramuu kan danda'u (haala gaarii irra kan jiru),,,,,,,,
merciful,,"<h3>Maqibsa</h3> 1] nami balleessullee kan nama maaru, gara-laafessa, gara- laafettii, araara qabeessa, aagii baasaa",,,,,,,,
merciless,,"<h3>Maqibsa</h3> 1] gara-jabeessa, gara-jabeettii",,,,,,,,
mercilessly,,<h3>Xumibsa</h3> 1] gara-jabeenyaan,,,,,,,,
mercurial,,<h3>Maqibsa</h3> 1] kan daddafee amalli isaa jjjiiramu 2] merkurii kan qabu,,,,,,,,
mercury,,<h3>Cibra</h3> 1] meerkurii (albuuda),,,,,,,,
Mercury,,<h3>Cibra</h3> 1] Meerkurii (pilaaneetii aduutti dhihaattee jirtu).,,,,,,,,
mercy,,<h3>Cibra</h3> 1] aagii,,,,,,,,
mere,,"<h3>Maqibsa</h3> 1] kophaa, duwwaa, callaa <h3>Cibra</h3> 1] haroo xinnoo",,,,,,,,
merely,,"<h3>Xumibsa</h3> 1] kophaa, laafaadhumatti",,,,,,,,
meretricious,,<h3>Maqibsa</h3> 1] kan nama hawwatu garuu immoo gatii kan hin qabne,,,,,,,,
merge,,"<h3>Gochima</h3> 1] walitti makuu, walitti dabaluu",,,,,,,,
Merge (ICT),,"<h3>Gochima</h3> 1] Maki, Maki, (ICT, Jecha Kompiitaraa)",,,,,,,,
Merge Field (ICT),,"<h3>Cibra</h3> 1] Dirree Makiinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Merge To (ICT),,"<h3>Gochima</h3> 1] ...Itti Maki, (ICT, Jecha Kompiitaraa)",,,,,,,,
merger,,<h3>Cibra</h3> 1] tokkoomuu,,,,,,,,
meridian,,<h3>Cibra</h3> 1] sarara yookiin xurree waaltaa kaabaatii hanga waaltaa kibbaatti hulluuqu kan nuura/yaada kophaadhaan mul'atu,,,,,,,,
meringue,,<h3>Cibra</h3> 1] gosa keekii,,,,,,,,
merino,,<h3>Cibra</h3> 1] gosoota hoolaa rifeensi isaanii uffata suufii tolchuuf oolu,,,,,,,,
merit,,<h3>Cibra</h3> 1] hojii badhaasi akkasumas galati ta'uuf,,,,,,,,
meritocracy,,<h3>Cibra</h3> 1] biyya yookiin sirna hawaasaa beektootaaf iddoo ol'aanaa kennu (fakkeenyaaf aangoo siyaasaa),,,,,,,,
meritorious,,<h3>Maqibsa</h3> 1] galatii fi badhaasi kan ta'uuf,,,,,,,,
merlin,,<h3>Cibra</h3> 1] gosa allaattii,,,,,,,,
mermaid,,"<h3>Cibra</h3> 1] uumama gama tokkoon eegee qurxummi gama biraatiin garuu qaama dubartii qabu (mataan isaa dubartii fakkaata, miilla kan hin qabne)",,,,,,,,
merriment,,"<h3>Cibra</h3> 1] gammachuu, kolfa",,,,,,,,
merry,,"<h3>Maqibsa</h3> 1] gammachuu qabeessa, gammadaa",,,,,,,,
merrymaking,,"<h3>Cibra</h3> 1] bashannana (dhugaa xabachuu, sirbuu, kolfuu)",,,,,,,,
mesa,,<h3>Cibra</h3> 1] tulluu kan irra keessi ciisaa ta'ee dugdeen isaa garuu ol dhaabatu,,,,,,,,
mescaline,,<h3>Cibra</h3> 1] gosa qorichaa ciiree yookiin adaamii irraa tolfamu,,,,,,,,
mesh,,"<h3>Cibra</h3> 1] uraa tokkoon tokkoon ishee waan akka gingilchaa yookiin saaphanaa irra jirtu 2] gingilchaa, saaphana <h3>Gochima</h3> 1] qurxummii saaphanaan qabuu.",,,,,,,,
mesmerize,,<h3>Gochima</h3> 1] yaada yookiin qalbii namaa guutumaan guutuutti to'achuu (qophii muuziiqaa irratti..),,,,,,,,
mess,,"<h3>Cibra</h3> 1] samaa, buxunxula, nama xuraa'aa 2] gamoo raayyaan waraanaa nyaata isaanii keessatti nyaatan 3] udaan saree, adurree fi kk fakkaatanii <h3>Gochima</h3> 1] samsuu",,,,,,,,
message,,"<h3>Cibra</h3> 1] dhaamsa, ergaa, beenoo",,,,,,,,
Message (ICT),,"<h3>Cibra</h3> 1] Beenoo, Dhaamsa, Erga, Ergaa, Dhaamsa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Message Box (ICT),,"<h3>Cibra</h3> 1] Sanduuqa Ergaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Message Catalog (ICT),,"<h3>Cibra</h3> 1] Galalee Dhaamsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Message Class (ICT),,"<h3>Cibra</h3> 1] Sadarkaa Dhaamsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Message Header (ICT),,"<h3>Cibra</h3> 1] Irraantoo Dhaamsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Messaging (ICT),,"<h3>Cibra</h3> 1] Dhamsergaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
messenger,,<h3>Cibra</h3> 1] ergamaa,,,,,,,,
Messiah,,<h3>Cibra</h3> 1] muudamaa,,,,,,,,
messy,,"<h3>Cibra</h3> 1] samaa, buxunxula, nama xuraa'aa 2] udaan saree, adurree fi kk fakkaatanii 3] wal dha'aa, burjaaja'aa",,,,,,,,
meta,,<h3>Gochima</h3> 1] nami yookiin biyyi tokko akka gidiraa argan gochuu,,,,,,,,
metabolise,,"<h3>Gochima</h3> 1] humna akka ta'aniif nyaata, albuudaa fi kkf gara qaamaatti fudhachuu",,,,,,,,
metabolism,,<h3>Cibra</h3> 1] meetaaboolizimii,,,,,,,,
metacarpal,,<h3>Cibra</h3> 1] lafee harkaa,,,,,,,,
Metafile (ICT),,"<h3>Cibra</h3> 1] Galsarmee (Gaalmee Sararaan Uumame), (ICT, Jecha Kompiitaraa)",,,,,,,,
metal,,<h3>Cibra</h3> 1] sibiila,,,,,,,,
metalanguage,,<h3>Cibra</h3> 1] waa'ee qooqaa/afaanii ibsuuf jechoota tajaajilan,,,,,,,,
metallic,,"<h3>Maqibsa</h3> 1] kan sibiilaa, sibilla kan qabu",,,,,,,,
metallurgist,,<h3>Cibra</h3> 1] ogeessa waa'ee sibiilaa qu'atu,,,,,,,,
metallurgy,,<h3>Cibra</h3> 1] saayinsii waa'ee sibiilaa qu'atu,,,,,,,,
metalwork,,<h3>Cibra</h3> 1] hojii sibiilaa,,,,,,,,
metamorphose,,<h3>Gochima</h3> 1] jijjiiramuu (adeemsa uumamaatiin),,,,,,,,
metamorphosis,,<h3>Cibra</h3> 1] jijjiirama (guutumaan guutuutti yookiin danaa qofaadhaan),,,,,,,,
metaphor,,<h3>Cibra</h3> 1] bakbuusa,,,,,,,,
metaphysics,,"<h3>Cibra</h3> 1] damee falaasamaa waa'ee jireenyaa, dhugaa fi beekumsaa qu'atu",,,,,,,,
metatarsal,,<h3>Cibra</h3> 1] lafee miillaa,,,,,,,,
mete,,"<h3>Gochima</h3> 1] nami, biyyi fi kkf garmalee akka adabaman, injifataman yookiin kunuunsi akka hanqatu gochuu",,,,,,,,
meteor,,<h3>Cibra</h3> 1] qorsa,,,,,,,,
meteorite,,<h3>Cibra</h3> 1] dhagaa yookiin sibiila yunivarsii/hawaa keessaa bu'u,,,,,,,,
meteorological,,<h3>Maqibsa</h3> 1] kan meetirolojii,,,,,,,,
meteorologist,,<h3>Cibra</h3> 1] hayyuu meetiroloojii,,,,,,,,
meteorology,,"<h3>Cibra</h3> 1] meetiroloojii, saayinsii waa'ee qilleensaa fi jijjiirama qilleensaa qu'atu",,,,,,,,
meter,,"<h3>Cibra</h3> 1] lakkooftuu (kan humna ellektiriikii, bishaanii, gaasii fi kkf)",,,,,,,,
methadone,,<h3>Cibra</h3> 1] qoricha iddoo heerooyinii namaaf kennamu (wal'aansaaf),,,,,,,,
methane,,<h3>Cibra</h3> 1] miiteenii (gaasii foolii maleessa akka boba'aatti fayyadu),,,,,,,,
method,,"<h3>Cibra</h3> 1] tooftaa, mala",,,,,,,,
Method (ICT),,"<h3>Maqibsa</h3> 1] Mala, Toftaa, Tooftaa, Toftaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
methodical,,<h3>Maqibsa</h3> 1] of eeggannoodhaan sirriitti kan hojjetame,,,,,,,,
Methodism,,<h3>Cibra</h3> 1] damee amantii kiristaanaa kan barsiisa Yohaannis Wasleey (1703-1791] irraa madde,,,,,,,,
methodology,,<h3>Cibra</h3> 1] mala hojii garaagaraa,,,,,,,,
methylated spirit,,<h3>Cibra</h3> 1] gosa alkoolii hin dhugamne kan akka boba'aatti fayyadu,,,,,,,,
meticulous,,<h3>Maqibsa</h3> 1] waan hundumaatiif kan of eeggatu,,,,,,,,
meticulously,,<h3>Xumibsa</h3> 1] of eeggannaadhaan,,,,,,,,
metre,,<h3>Cibra</h3> 1] meetirii,,,,,,,,
metrical,,<h3>Maqibsa</h3> 1] walaloodhaan kan barreeffame,,,,,,,,
metrication,,<h3>Cibra</h3> 1] gara bikkooma meetiriitti geeddaruu,,,,,,,,
metro,,<h3>Cibra</h3> 1] baabura lafa jala deemu,,,,,,,,
metronome,,<h3>Cibra</h3> 1] gosa sa'aatii yeroo eegdee iyyitu (warra muuziiqaa xabatan yeroo kan yaadachiiftu),,,,,,,,
metropolis,,<h3>Maqibsa</h3> 1] magaalaa guddaa,,,,,,,,
metropolitan,,<h3>Maqibsa</h3> 1] kan magaalaa guddaa,,,,,,,,
mettle,,"<h3>Cibra</h3> 1] rakkoo danda'uu, obsuu",,,,,,,,
mettlesome,,"<h3>Maqibsa</h3> 1] jabaa, cimaa",,,,,,,,
mew,,<h3>Cibra</h3> 1] sagalee adurree,,,,,,,,
mews,,<h3>Cibra</h3> 1] bakka dheedicha fardaa kan manni irratti ijaarame,,,,,,,,
Mexico,,"<h3>Maqqofee</h3> 1] Meeksikoo, maqaa biyyaati.",,,,,,,,
Mexico city,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Meeksikoo,,,,,,,,
mezzanine,,<h3>Maqibsa</h3> 1] afaala lafaa fi fooqii tokkoffaa gidduu jiru 2] teessuma mana tiyaatiraa kan fulduraan jiru,,,,,,,,
miaow,,<h3>Cibra</h3> 1] sagalee adurree,,,,,,,,
miasma,,<h3>Cibra</h3> 1] foolii yookiin naannoo nama hin gammachiifne,,,,,,,,
mica,,<h3>Cibra</h3> 1] maayikaa (albuuda calaqqisu),,,,,,,,
mickey,,<h3>Cibra</h3> 1] namatti basallaquu (nama namatti kofalchiisuuf),,,,,,,,
micro-organism,,<h3>Cibra</h3> 1] wantoota lubbu-qabeeyyii xixinnoo ijaan hin mul'anne,,,,,,,,
microbe,,"<h3>Cibra</h3> 1] maayikroobii, wantoota lubbuu qabeeyyii xixinnoo ijaan hin mul'anne",,,,,,,,
microbiology,,<h3>Cibra</h3> 1] saayinsii waa'ee baakteeriyaa fi kkf qu'atu,,,,,,,,
microchip,,<h3>Cibra</h3> 1] silkoonii xinnoo kan odeeffannoo ellektiroonikii hedduu baattu,,,,,,,,
microcomputer,,<h3>Cibra</h3> 1] komputara xinnoo,,,,,,,,
Microcomputer (ICT),,"<h3>Cibra</h3> 1] Kompiitara Xiqqaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
microcosm,,<h3>Cibra</h3> 1] xinnoo ta'ee garuu immoo isa guddaa yookiin isa bal'aa bakka bu'uu kan danda'u,,,,,,,,
microfilm,,<h3>Cibra</h3> 1] fiilmii suuraa xixinnoon irratti kuusamu,,,,,,,,
microlight,,<h3>Cibra</h3> 1] xiyyaara xinnoo,,,,,,,,
micrometer,,<h3>Cibra</h3> 1] meeshaa waan xixinnoo safaruuf/bikkeessuuf nama gargaaru,,,,,,,,
microphone,,<h3>Cibra</h3> 1] noolaa,,,,,,,,
Microphone (ICT),,"<h3>Cibra</h3> 1] Noolaa, Qaaqiyyee, Qaaqiyyee, (ICT, Jecha Kompiitaraa)",,,,,,,,
microprocessor,,<h3>Cibra</h3> 1] komputarii xinnoo,,,,,,,,
Microprocessor (ICT),,"<h3>Cibra</h3> 1] Maayikroprooseser, (ICT, Jecha Kompiitaraa)",,,,,,,,
microscope,,<h3>Cibra</h3> 1] maaykiroskoppii,,,,,,,,
microscopic,,<h3>Maqibsa</h3> 1] waan xinnoo ijaan hin mul'anne,,,,,,,,
Microsoft Access Database (ICT),,"<h3>Cibra</h3> 1] Kuusdeetaa Akseesii Maayikroosoftii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Excel (ICT),,"<h3>Cibra</h3> 1] Ekseelii Maayikroosoftii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Exchange (ICT),,"<h3>Cibra</h3> 1] Jijjiirraa Maaykirosoofti, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Internet Assistant (ICT),,"<h3>Cibra</h3> 1] Gargaarsa Maaykirosoofti Interneetii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Mail (ICT),,"<h3>Cibra</h3> 1] Ergaa Maaykrosooftii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Mouse (ICT),,"<h3>Cibra</h3> 1] Hantuutee Maaykirosooftii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Office Standard (ICT),,"<h3>Cibra</h3> 1] Maayikiroosoofti Ofiis Istaandaardii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Powerpoint (ICT),,"<h3>Cibra</h3> 1] Maykirosofti Paawor Poo’eentii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Privacy Policy (ICT),,"<h3>Cibra</h3> 1] Imaammata Matayyaa Maaykiroosooftii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Product Support (ICT),,"<h3>Cibra</h3> 1] Deeggersa Oomisha Maaykiroosooftii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Publisher (ICT),,"<h3>Cibra</h3> 1] Maykirosoofti Paabiliisharii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Script Editor (ICT),,"<h3>Cibra</h3> 1] Gulaalaa Barruu Maayikiroosooftii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Microsoft Word (ICT),,"<h3>Cibra</h3> 1] Maykirosoft Woordii, (ICT, Jecha Kompiitaraa)",,,,,,,,
microwave,,<h3>Cibra</h3> 1] dambalii reediyoo fi raadaarii gabaabaa 2] mashiinii dafee waa bilcheessu (kan maayikroweevii fayyadamu),,,,,,,,
mid,,"<h3>Maqibsa</h3> 1] walakkeessa, gidduu",,,,,,,,
mid-term,,<h3>Cibra</h3> 1] walakkeessa samisteeraa,,,,,,,,
Midas touch,,<h3>Cibra</h3> 1] waan hojjetu hundumaa irraa bu'aa maallaqaa argachuuf daandeettii isaa nama qabu,,,,,,,,
midday,,"<h3>Cibra</h3> 1] waaree, saataa",,,,,,,,
midden,,<h3>Cibra</h3> 1] tuullaa balfaa/dikee,,,,,,,,
middle,,"<h3>Maqibsa</h3> 1] wirtuu, walakkaa, gidduu",,,,,,,,
Middle (ICT),,"<h3>Gochima</h3> Message 1] Gidduu, Jiddu, Muummee, Walakkaa, Wiirtuu, Maqaa Abbaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
middle class,,<h3>Cibra</h3> 1] hawaasa kan gita giddu galeessaa,,,,,,,,
middle distance,,<h3>Cibra</h3> 1] dorgommii fiigichaa kan fageenya meetiri 400 yookiin 800,,,,,,,,
Middle East,,<h3>Cibra</h3> 1] Baha Giddu Galeessaa,,,,,,,,
middle finger,,"<h3>Cibra</h3> 1] quba dheeraa, quba gidduu, mooticha, meedhicha guddaa",,,,,,,,
middlebrow,,<h3>Maqibsa</h3> 1] hagasmara barnoota kan hin qabne,,,,,,,,
middleman,,"<h3>Cibra</h3> 1] daldalaa jilmaa, dallaalaa (nama gidduu deemu)",,,,,,,,
middleweight,,<h3>Cibra</h3> 1] ulfaatina giddu-galeessaa (buunyaadhaaf),,,,,,,,
middling,,<h3>Maqibsa</h3> 1] giddu-galeessa,,,,,,,,
midfield,,<h3>Cibra</h3> 1] wiirtuu dirree (kan kubbaa miillaa),,,,,,,,
midge,,<h3>Cibra</h3> 1] bookee,,,,,,,,
midget,,"<h3>Cibra</h3> 1] tashaa, dinkii",,,,,,,,
midnight,,"<h3>Cibra</h3> 1] waarii, halkan walakkaa, halkan qixxee",,,,,,,,
midpoint,,"<h3>Maqibsa</h3> 1] walakkeessa, wiirtuu",,,,,,,,
midriff,,<h3>Cibra</h3> 1] qaama namaa (laphee fi mudhii gidduu isa jiru),,,,,,,,
midshipman,,<h3>Cibra</h3> 1] qondaala humna galaanaa ta'uuf barataa leenjii fudhatu,,,,,,,,
midst,,<h3>Cibra</h3> 1] kutaa wiirtuu,,,,,,,,
midstream,,"<h3>Cibra</h3> 1] wiirtuu lagaa, burqituu fi kk fakkaatanii",,,,,,,,
midsummer,,<h3>Cibra</h3> 1] walakkeessa bonaa,,,,,,,,
midway,,"<h3>Maqibsa</h3> 1] gidduu, walakkaa",,,,,,,,
midweek,,<h3>Cibra</h3> 1] walakkeessa torbanii,,,,,,,,
midwife,,<h3>Cibra</h3> 1] deesiftuu,,,,,,,,
midwifery,,<h3>Cibra</h3> 1] ogummaa dubartii deesisuu,,,,,,,,
midwinter,,<h3>Cibra</h3> 1] walakkeessa gannaa,,,,,,,,
mien,,<h3>Cibra</h3> 1] amala yookiin akkaataa fuula namaa (gadda yookiin gammachuu kan agarsiisu),,,,,,,,
miffed,,<h3>Maqibsa</h3> 1] kan aare,,,,,,,,
might,,"<h3>Cibra</h3> 1] humna, jabeenya",,,,,,,,
mightily,,<h3>Xumibsa</h3> 1] humnaan 2] baay'ee,,,,,,,,
mighty,,"<h3>Maqibsa</h3> 1] jabaa, cimaa 2] guddaa",,,,,,,,
migraine,,<h3>Cibra</h3> 1] mataa bowwuu hamaa,,,,,,,,
migrant,,<h3>Cibra</h3> 1] godaanaa (biyya isaa dhiisee biyya biraa kan deemu),,,,,,,,
migrate,,<h3>Gochima</h3> 1] godaanuu (biyya ofii dhisanii biyya kan biroo deemuu),,,,,,,,
migration,,<h3>Cibra</h3> 1] godaansa,,,,,,,,
migratory,,<h3>Maqibsa</h3> 1] kan godaanu,,,,,,,,
mike,,<h3>Cibra</h3> 1] maakrofoonii,,,,,,,,
milch,,<h3>Cibra</h3> 1] bineelda (kan annan kennan),,,,,,,,
mild,,"<h3>Maqibsa</h3> 1] nama qajeelaa, qabbanaa'aa 2] laafaa, gubaa kan hin taane 3] qilleensa gaarii",,,,,,,,
mildew,,"<h3>Cibra</h3> 1] gogii, fangasii adii",,,,,,,,
mile,,<h3>Cibra</h3> 1] maayilii,,,,,,,,
mileage,,<h3>Cibra</h3> 1] fageenya deemame yookiin kan deemamu (maayiliidhaan lakkaa'amee),,,,,,,,
miler,,<h3>Cibra</h3> 1] nama yookiin farda dorgommii maayilii tokkoo irratti qooda fudhatan,,,,,,,,
milestone,,<h3>Cibra</h3> 1] guddina waan tokkoo keessatti sadarkaa baay'isee barbaachisaa ta'e,,,,,,,,
milieu,,<h3>Cibra</h3> 1] jireenya hawaasummaa kan naannoo,,,,,,,,
militant,,<h3>Maqibsa</h3> 1] kaayyoo isaa bakkaan ga'uuf humna kan fayyadamu,,,,,,,,
militarism,,<h3>Cibra</h3> 1] ol'aantummaa humna loltummaatti amanuu,,,,,,,,
militarize,,<h3>Gochima</h3> 1] loltoota naannoo tokkotti erguu,,,,,,,,
military,,<h3>Cibra</h3> 1] kan loltuu,,,,,,,,
militate,,<h3>Gochima</h3> 1] waanti tokko akka hin raaw'atamne yookiin akka hin taane ittisuu yookiin dhiibbaa gochuu,,,,,,,,
militia,,"<h3>Gochima</h3> 1] milishaa, raayyaa uummataa",,,,,,,,
militiaman,,<h3>Cibra</h3> 1] miseensa milishaa,,,,,,,,
milk,,<h3>Cibra</h3> 1] aannan <h3>Gochima</h3> 1] elmuu,,,,,,,,
milk (fresh),,"<h3>Cibra</h3> 1] mi'ii, ayeetuu, aannan reefu elmame",,,,,,,,
milk float,,<h3>Cibra</h3> 1] makinaa annan raabsitu,,,,,,,,
milk pot (wooden),,<h3>Cibra</h3> 1] soroora,,,,,,,,
milk-bush,,"<h3>Cibra</h3> 1] hindhee, biqiltuu gosa annanoo",,,,,,,,
milk-churn,,<h3>Cibra</h3> 1] meeshaa aannan keessa kaa'an,,,,,,,,
milk-teeth,,<h3>Cibra</h3> 1] soogiddoo,,,,,,,,
milker,,<h3>Cibra</h3> 1] elmituu,,,,,,,,
milkmaid,,<h3>Cibra</h3> 1] elmituu (dubartii),,,,,,,,
milkman,,<h3>Cibra</h3> 1] raabsaa annanii (dhiira),,,,,,,,
milksop,,"<h3>Cibra</h3> 1] muuyoo, sodaataa",,,,,,,,
milky,,<h3>Maqibsa</h3> 1] kan annan wajjin walitti makame 2] annan kan fakkaatu,,,,,,,,
Milky Way,,"<h3>Cibra</h3> 1] Milki Weyii, Ruuda/Gaalaaksii nuun jiraannu, tuuta urjii kan bakka tokkotti mul'atan",,,,,,,,
mill,,<h3>Cibra</h3> 1] baabura midhaanii,,,,,,,,
milldam,,<h3>Cibra</h3> 1] daagoo (kan baabura midhaanii),,,,,,,,
millennium,,"<h3>Cibra</h3> 1] miliniyeemii, barkumee, waggaa kuma tokko",,,,,,,,
miller,,"<h3>Cibra</h3> 1] nama baabura midhaanii qabu, nama baabura midhaani irraa hojjetu",,,,,,,,
millet,,<h3>Cibra</h3> 1] daagujjaa,,,,,,,,
milliard,,"<h3>Cibra</h3> 1] Kumakitila, biiliyoonii (1000,000,000)",,,,,,,,
milligram,,<h3>Cibra</h3> 1] milii-giraamii (giraam 1/1000),,,,,,,,
milliliter,,<h3>Cibra</h3> 1] miililiitirii (1/1000 litiri),,,,,,,,
millimeter,,<h3>Cibra</h3> 1] miilimeetirii (1/1000 meetiri),,,,,,,,
milliner,,<h3>Cibra</h3> 1] nama barneexaa dubartii tolchuu fi gurguru,,,,,,,,
million,,"<h3>Cibra</h3> 1] kitila, miiliiyooni",,,,,,,,
millionaire,,<h3>Cibra</h3> 1] nama maallaqa miliyoonitti lakkaa'amu qabu,,,,,,,,
millipede,,<h3>Cibra</h3> 1] dhimillee (gosa raammoo),,,,,,,,
millisecond,,<h3>Cibra</h3> 1] miiliisekondii (1/1000 sekondii),,,,,,,,
millpond,,<h3>Cibra</h3> 1] bishaan baaburaaf iddoo tokkotti kuusame,,,,,,,,
millstone,,<h3>Cibra</h3> 1] dhagaa baabura midhaanii,,,,,,,,
milometer,,<h3>Cibra</h3> 1] meeshaa makiinaa keessa jiru kan maayliin meeqa akka deemame lakkaa'u.,,,,,,,,
milt,,<h3>Cibra</h3> 1] mi'oo (ispeermii) qurxummii.,,,,,,,,
Mime Type (ICT),,"<h3>Cibra</h3> 1] Akaakuu Mime, (ICT, Jecha Kompiitaraa)",,,,,,,,
mimeograph,,<h3>Cibra</h3> 1] meeshaa jaltuu ittiin kaasan,,,,,,,,
mimetic,,<h3>Maqibsa</h3> 1] akkeessituu,,,,,,,,
mimic,,<h3>Gochima</h3> 1] akkeessuu (sagalee fi gochaa namaa),,,,,,,,
mimicry,,<h3>Cibra</h3> 1] ogummaa nama akkeessuu,,,,,,,,
mimosa,,<h3>Cibra</h3> 1] muka laaftoo fakkaatu (gosa biqiltuu),,,,,,,,
minaret,,<h3>Cibra</h3> 1] minaara (Masgiida irratti waan qal'aa ol dheeraa mul'atu qaama jaarmiyaa),,,,,,,,
minatory,,<h3>Maqibsa</h3> 1] sodaachiisaa,,,,,,,,
mince,,"<h3>Gochima</h3> 1] kocheessuu, xixinneessanii murmuruu (waan akka foonii fi kkf)",,,,,,,,
mincemeat,,<h3>Cibra</h3> 1] foon daakamaa,,,,,,,,
mincer,,<h3>Cibra</h3> 1] meeshaa foon daaku,,,,,,,,
mind,,"<h3>Cibra</h3> 1] sammuu, qaroo, dandeettii waa yaaduu <h3>Gochima</h3> 1] mormuu 2] eeguu, kunuunsuu",,,,,,,,
minded,,<h3>Maqibsa</h3> 1] waan tokko hojjechuuf fedhii yookiin hawwii kan qabu,,,,,,,,
mindful,,"<h3>Maqibsa</h3> 1] seexoftuu, seexa'aa, qalbifataa, qalbifattuu",,,,,,,,
mindless,,<h3>Maqibsa</h3> 1] kaayyoo kan hin qabne 2] beekumsa kan hin barbaadne 3] jufunfula,,,,,,,,
mine,,"<h3>Bamaqaa</h3> 1] kan koo, kiyya",,,,,,,,
mined,,<h3>Maqibsa</h3> 1] kochifamaa,,,,,,,,
minefield,,<h3>Cibra</h3> 1] naannoo dhukaa'an jiru 2] haala balaa dhokataa qabu,,,,,,,,
miner,,<h3>Cibra</h3> 1] nama bakka albuudi qotamee ba'uu hojjetu,,,,,,,,
mineral,,<h3>Cibra</h3> 1] albuuda,,,,,,,,
mineralogist,,<h3>Cibra</h3> 1] hayyuu waa'ee albuudaa qu'atu,,,,,,,,
mineralogy,,<h3>Cibra</h3> 1] saayinsii waa'ee albuudaa qo'atu,,,,,,,,
minestrone,,"<h3>Cibra</h3> 1] shoorbaa kan foonii, kuduraa fi paastaa yookiin ruuzii",,,,,,,,
minesweeper,,<h3>Cibra</h3> 1] doonii dhuka'aa barbaaddee qulleessitu,,,,,,,,
mineworker,,<h3>Cibra</h3> 1] warshaa albuuda baasu keessaa nama hojjetu,,,,,,,,
mingle,,<h3>Gochima</h3> 1] walitti makuu,,,,,,,,
mingy,,<h3>Maqibsa</h3> 1] xinnoo,,,,,,,,
mini,,<h3>Cibra</h3> 1] wandaboo qexxaa,,,,,,,,
mini-bar,,<h3>Cibra</h3> 1] dulaaba xinnoo dhugaatiin irra kaa'amu,,,,,,,,
miniature,,<h3>Cibra</h3> 1] fakkii xinnoo (kees. kan namaa),,,,,,,,
minibus,,<h3>Cibra</h3> 1] makiinaa geejibaa nama kudha lama baattu,,,,,,,,
minicab,,<h3>Cibra</h3> 1] taaksii bilbilaan waammatan,,,,,,,,
minicomputer,,<h3>Cibra</h3> 1] komputarii giddu-galeessa,,,,,,,,
Minicomputer (ICT),,"<h3>Cibra</h3> 1] Minikoompuuter, (ICT, Jecha Kompiitaraa)",,,,,,,,
minimal,,"<h3>Maqibsa</h3> 1] xinnoo, gad-aanaa",,,,,,,,
minimize,,"<h3>Gochima</h3> 1] xiqqeessuu, hir'isuu",,,,,,,,
Minimize (ICT),,"<h3>Gochima</h3> 1] Gadeessi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Minimize Button (ICT),,"<h3>Gochima</h3> 1] Qabduu Gadeessi, (ICT, Jecha Kompiitaraa)",,,,,,,,
minimum,,<h3>Maqibsa</h3> 1] hanga danda'ametti baay'ee xinnoo kan ta'e,,,,,,,,
Minimum Installation (ICT),,"<h3>Cibra</h3> 1] Ijaarsa Gadee, (ICT, Jecha Kompiitaraa)",,,,,,,,
mining,,<h3>Cibra</h3> 1] hojii albuuda baasuu,,,,,,,,
minion,,<h3>Cibra</h3> 1] hojjetaa sadarkaan isaa gad aanaa,,,,,,,,
miniseries,,<h3>Cibra</h3> 1] seenaa kutaa kutaa qabu kan walitti aansame televizyinii irratti agarsiifamu,,,,,,,,
minister,,"<h3>Cibra</h3> 1] ministira, luba <h3>Gochima</h3> 1] kunuunsuu, gargaaruu",,,,,,,,
ministerial,,"<h3>Maqibsa</h3> 1] kan ministeeraa, kan ministiraa",,,,,,,,
ministration,,"<h3>Cibra</h3> 1] kunuunsa, gargaarsa",,,,,,,,
